BIL,NAMA SYARIKAT,ALAMAT,KOD BENGKEL (BKA642J***J***),TARIKH SAH LAKU,KATEGORI,RUJ. SIJIL,NO TEL,EMAIL,SYARIKAT PERUNDING,JURUTERA PROFESIONAL,AKTIVITI BENGKEL,Negeri,Tempoh Sah
1,ACIER STEEL FABRICATIONS SDN BHD,"No 90, Scientex Jaya 5, Taman Scientex Senai, 81400 Senai, Johor Darul Takzim.",BKA654J062J062,6-Apr-22,B,(26)Jld.31,07-3515899,soonlee.poh@gmail.com,AAREC CONSULTANT,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Decontrolled Dan Treler Sahaja.
",Johor,Tamat
2,ADVANCED DEFENCE SYSTEMS SDN BHD.,"Lot 309, Jalan Bypass, Mukim Jementeh Pulapol, 85100 Segamat, Johor Darul Takzim.",BKA654J064J064,26-Sep-22,A,(18)Jld.36,013-3475325,roslan.samah@adssb.com.my,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Treler Dan Jentera Berat Sahaja.",Johor,Laku
3,APPERMIT MOTOR SDN. BHD.,"125, Jalan Besar, Tongkang Pechah, 83010 Batu Pahat, Johor.",BKA642J001J049,25-Oct-18,A,(08)Jld.147,07-4151960,N/A,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Compactor, Tipper, Rolls-Off Dan Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis ",Johor,Tamat
4,BATU PAHAT SIN HUAT MOTOR CAR & CRANE SDN. BHD.,"Milo 513, Jalan Kampung Mohd Noor, Tongkah Pecah, 83010 Batu Pahat, Johor D.T",BKA654J002J062,11-Jan-24,A,(36)Jld.40,07-4156333,phang@bpsinhuat.com.my,TRANSTECH CONSULTING ENGINEERING,IR. SAIFULA AZIZI BIN MOHAMAD SAAD,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Sahaja.
2. Memasang Prime Movers, Buses, Panel Vans, Trucks And Golf Buggies.",Johor,Laku
5,BECK AUTOMOTIVE ENGINEERING SDN BHD,"Plo 178, Jalan Angkasa Mas 6,Kawasan Perindustrian Tebrau II,81100 Johor Bahru, Johor",BKA654J021J062,6-Apr-23,A,(28)Jld.31,07-3553433,sptrans@supportrans.com,DESATIC ENGINEERING SERVICE,IR. CHOW SEI YING,"type here

AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas Dan Lori Sahaja.",Johor,Laku
6,BOON KOON VEHICLES INDUSTRIES SDN BHD.,"Lot 44506, Jalan Kangkar Tebrau, Kampung Kangkar Tebrau, Pasir Gudang Highway, 81100 Johor Darul Takzim.",BKA654J060J060,17-Jan-22,A,(10)Jld.29,07-3517699,kathrine.bkg@boonkoon.com,DIMD AUTOMOTIF CONSULTANT,DATO IR. HJ. MOHAMAD BIN DALID,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Box/Luton Van Sahaja.
2. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Dan Tanker Sahaja.",johor,Tamat
7,BOON MENG BODY LORRY PLATFORM SDN BHD.,"Lot 4844 JS 19-4 Jln Sembrong 5, Taman Perindustrian Sembrong 86000 Kluang, Johor Darul Takzim.",BKA654J003J058,25-Jun-22,A,(04)Jld.20,07-7050025,boonmeng81@gmail.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid Dan Pengubahsuaian Whellbase Sahaja.
2. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Trailer.",johor,Laku
8,CHAI TAT LEE MACHINERY SDN BHD,"Ptd 37447, Lot 663, Jalan Kota Tinggi, 3km, 81000 Kulai, Johor D.T.",BKA654J007J062,2-Oct-23,A,(14)Jld. 35,07-6631178,tatlee_chai@yahoo.com,TANMENGJIN CONSULTANCY,IR. TAN MENG JIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal bagi Semua Jenis Lori Termasuk Tipper, Kargo, Garbage Bin Sahaja
2. Membina Treler Termasuk Tipper, Car Carrier Dan Low Loader Baharu, Pembaikan Dan Pengubahsuai Teknikal Bagi Treler",johor,Laku
9,CHANGLONG ENGINEERING SDN BHD,"No JK/A 88/21, Jalan Kluang, Parit Panchor, 83000 Batu Pahat, Johor.",BKA654J057J059,18-Nov-22,A,(02)Jld.27,012-7234102,changlong.acc@gmail.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal bagi Semua Jenis Lori Sahaja
2. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal bagi Semua Jenis Treler Sahaja.",johor,Laku
10,CHOP YONG CHEONG SDN. BHD.,"Lot 3939, Jalan Riang 21,Off Jln. Tampoi,81200 Johor Bahru, Johor.",BKA654J005J062,12-Sep-23,A,(20)Jld.35,07-3345628,cyclorry@hotmail.com,MNFF ENGINEERING SERVICES,IR. MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Lori Rigid Dan Treler Sahaja.",johor,Laku
11,CONTISO ENGINEERING SDN BHD,"PLO 806, Jakan Platinum 3, Zon 12B, Kawasan Perindustrian Pasir Gudang, 81700 Pasir Gudang, Johor.",BKA654J006J066,28-Mar-24,A,(12)Jld.41,07-2546491,azhar.contiso@gmail.com,ARZ CONSULTING ENGINEERS SDN BHD,``,"AKTIVITI:
1. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",johor,Laku
12,D. N THEY AUTO SDN BHD.,"Lot MLO 1672, Batu 3 1/4, Jalan Bakri, 84000 Muar, Johor Darul Takzim.",BKA654J057J059,4-Nov-22,A,(04)Jld. 26,06-9866177,dnthey@gmail.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Sahaja",johor,Laku
13,EIK ENGINEERING SDN BHD,No 10 (PTD 5749) Jalan SILC 1/4 Kawasan Perindustrian SiLC 79200 Nusajaya Johor,BKA654J007J062,2-Oct-23,A,(14)Jld. 35,07-5319922,info@eikengineering.com.my,TRANSAFE CONSULTING ENGINEER,IR. MD. HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal bagi Semua Jenis Jentera Berat Berantai (Excavator) Sahaja.",johor,Laku
14,FAXLIN INDUSTRY SDN. BHD.,"Lot 3648, Batu 4 3/4 , Jalan Sungai Mati, Sungai Sendok, 84000 Muar, Johor D.T.",BKA642J008J049,17-Oct-14,A,(08)Jld.108,06-9527888,N/A,DCM ENGINEERING SERVICES,IR. HJ. ABD RAHMAN BIN HASHIM,"AKTIVTI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",johor,Tamat
15,GEMILANG COACHWORKS SDN. BHD.,"PTD 42326, Jalan Seelong, Mukim Senai,81400 Johor.",BKA654J009J064,3-Oct-23,A,(12) Jld.37,07-5996666,gml@gml.com.my,DESATIC ENGINEERING SERVICE,IR. CHOW SEI YING,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas Sahaja.",johor,Laku
16,GKY MACHINERY (M) SDN. BHD.,"No 1&3 Jalan Firma 1/5, Kaw. Perind. Tebrau 1, 81100 Johor Bahru, Johor.",BKA642J010J049,6-Jul-11,A,,,,,,,johor,Tamat
17,HANDAL INDAH SDN BHD.,"No. 23, Jalan Firma 2, Kawasan Perindustrian Tebrau II, 81100 Johor Bahru, Johor Darul Takzim.",BKA654J066J066,11-Jan-23,A,(30)Jld.40,07-3582244,N/A,DESATIC ENGINEERING SERVICE,IR CHOW SEI YING,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas, Van, Lori Dan Tanker Sahaja.",johor,Laku
18,HAP LIP TRUCK BODY SERVICES SDN BHD,"Lot 6027 Jalan Yong Peng, Ayer Hitam Mk Tg Sembrong 83700 Yong Peng, Johor.",BKA642J011J049,7-Dec-19,A,(14)Jld.157,07-4671167,haplip@yahoo.com.my,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton, dan Van  Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru Dan Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",johor,Tamat
19,HEEVAMAX COACH BUILDERS SDN BHD.,"Lot 1570, Jalan Sialang 84900 Tangkak, Johor.",BKA655J056J059,18-Nov-22,A,(04)Jld.27,013-6885940,shaiful6885940@gmail.com,AAREC CONSULTANT,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Van, Ambulans, Tanker Dan Treler Sahaja.
",johor,Laku
20,HHB ENTERPRISE SDN BHD.,"No 19-20, Jalan Penghulu Ismail, Jalan Muar-Tangkak, 84000 Ledang, Johor Darul Takzim.",BKA654J012J059,23-Dec-22,A,(18)Jld.28,016-6603050,N/A,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Lori, Treler Dan Bas Sahaja.",johor,Laku
21,HOPSIN TRUCK BODY INDUSTRIES SDN BHD.,"PTD 24391, Jalan Satin, Taman Ria, 83700 Yong Peng, Johor Darul Takzim.",BKA654J051J064,1-Oct-23,A,(18)Jld.38,07-4672644,hopsintruckbody@yahoo.com,MNFF ENGINEERING SERVICES,IR. MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Badan Lori Rigid, Box/Luton Van, Tipper Roll On/Roll Off Sahaja.
2. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Smeua Jenis Trailer/Tanker Sahaja.",johor,Laku
22,HUP SOON IRONWORKS SDN. BHD.,"Lot 187 (PTD 102957), Jalan Seelong,, 81400 Senai, Johor.",BKA654J013J059,23-Dec-22,A,(06) Jld 27,07-5993287,hupsoon_ironworks@hotmail.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",johor,Laku
23,JB BOON HUAT COACH BUILDERS SDN. BHD.,"Lot 9846-B, Jalan Kempas Lama, Off Jalan Skudai, Johor.",BKA654J014J059,23-Sep-22,A,(04)Jld. 25,07-5569223,jbboonhuat@jbbh.com.my,DESATIC ENGINEERING SERVICE,IR. CHOW SEI YING,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas, Lori dan Van Sahaja.",johor,Laku
24,JEBAT HASBULLAH BIN ROSLI,"PLO 565 Jalan Keluli, Kawasan Perindustrian Pasir Gudang, 81700 Pasir Gudang, Johor",BKA642J015J049,11-Jun-14,A,(22) Jld. 101,07-2523790,N/A,TRANSAFE CONSULTING ENGINEER,IR. MD. HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",johor,Tamat
25,JEBAT HASBULLAH ROSLI SDN BHD.,"Harverst Green Businees Park, No. 9, Jalan Senangin 6, Taman Pasir Putih, 81700 Pasir Gudang, Johor Darul Takzim.",BKA654J065J065,30-Nov-22,A,(26) Jld. 39,013-7778588,nhadeyyaa@gmail.com,ARZ CONSULTING ENGINEERS SDN BHD,IR. HJ ABDUL RAHMAN BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",johor,Laku
26,KHL ENGINEERING SDN. BHD.,"Lot 8633, Batu 1, Jalan Air Hitam,83700 Yong Peng, Johor",BKA642J016J049,4-Aug-13,A,(6)Jld.94,,,,,,johor,Tamat
27,KIAN TECK TANGKAK SDN BHD.,"PTD 8018, Batu 15, Anjung Batu, 84900 Tangkak, Johor Darul Takzim.",BKA654J059J059,2-July-21,A,(28)Jld. 20,06-9788796,kianteck_@yahoo.com,TRANSAFE CONSULTING ENGINEER,IR. MD. HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, , Semi-Treler, Treler Dan Jentera Berat Sahaja.",johor,Tamat
28,LAI HENG ENGINEERING CONSTRUCTION,"No 109-7, Batu 1, Jalan Bakri, 84000 Muar, Johor D.T.",BKA642J017J049,28-May-16,A,(10)Jld. 123,06-9525781,N/A,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Roll-On Roll-Off, Bas, Box/Luton Van, Kenderaan Decontrolled Dan Pengubahsuaian & Pemanjangan Bes Roda Sahaja.",johor,Tamat
29,LAIHENG ENGINEERING SDN. BHD.,"K91 & K85, Jalan Perindustrian 6, Kawasan Perindustrian Tanjung Agas, 84000 Tangkak, Johor.",BKA654J018J061,2-Aug-22,A,(10)JLld. 32,06-9527071,laihengengk91@yahoo.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Semi Treler, Treler, Tanker Dan Jentera Berat Sahaja.",johor,Laku
