Negeri ID,Kod Negeri,Unit Bahagian,Cawangan,Alamat,No. Telefon,Waktu Perkhidmatan,No. Faks,Koordinat
15,S015,Jabatan Pengangkutan Jalan Negeri Sabah,,Jalan Bundusan Penampang Beg Berkunci 2013 88998 Kota Kinabalu,088-511888,8.00 pagi - 4.00 petang,088-723366,"5.933918, 116.101425"
,,,Cawangan Kota Marudu,"Lot 1 Blok B, Bangunan WTK 89108 Kota Marudu",088-662010,8.00 pagi - 4.00 petang,088-662127,"6.494227, 116.773268"
,,,Cawangan Tenom,Tingkat Bawah Lot 82 Jalan Datuk Hj. Yassin W.D.T. 26 89909 Tenom ,087-736951,8.00 pagi - 4.00 petang,087-736544,"5.122363, 115.943648"
,,,Cawangan Papar,Lot 28 Rumah Kedai Tkt Bawah Taman OKK Hj. Mahali 89600 Papar,088-915401,8.00 pagi - 4.00 petang, 088-915631,"5.732656, 115.929658"
,,,Cawangan Ranau,"Blok B, Aras Bawah Bangunan Kompleks Pentadbiran Kerajaan Persekutuan Ranau Peti Surat 221 89308 Ranau, Sabah",088-875625,8.00 pagi - 4.00 petang,088-875252,"5.950431, 116.662201"
,,,Cawangan Keningau,Jalan Golf Club Peti Surat 171 89008 Keningau,087-331382 / 087-332382,8.00 pagi - 4.00 petang,087-332676," 5.364342, 116.172408"
,,,Cawangan Tawau,Jalan Tengku Osman Peti Surat 944 91008 Tawau,089-755010,8.00 pagi - 4.00 petang,089-777801 ,"4.275054, 117.8824364"
,,,Cawangan Sipitang,Bati 1 Jln Mesapol Peti Surat 316 89857 Sipitang,087-822819,8.00 pagi - 4.00 petang,087-822820,"5.094758, 115.562124"
,,,Cawangan Tuaran,Tingkat Bawah Lot No.2 Jalan Jilang Peti Surat 912 89200 Tuaran,,8.00 pagi - 4.00 petang,088-787675,"6.177736, 116.231533"
,,,Cawangan Kota Belud,"Aras Bawah, Blok B Bangunan Gunasama Persekutuan Jalan Botung Rosok 89158 Kota Belud, Sabah",088-977234,8.00 pagi - 4.00 petang,088-977234,"6.370799, 116.471820"
,,,Cawangan Semporna,"Bangunan Mutiara Tingkat Bawah, Blok E, Lot E15 Peti Surat 266 Jalan Hospital 91309 Semporna", 089-784591,8.00 pagi - 4.00 petang,089-784591,"4.479785, 118.607389"
,,,Cawangan Beaufort,Jalan Bakalau Peti Surat 151 89808 Beaufort,087-214515 / 087-211470,8.00 pagi - 4.00 petang,087-211507," 5.352576, 115.732968"
,,,Cawangan Lahad Datu,Peti Surat 61395 91122 Lahad Datu,089-883922,8.00 pagi - 4.00 petang,089-884591,"5.028387, 118.320118"
,,,Cawangan Kudat,W.D.T. 17 89059 Kudat, 088-611828,8.00 pagi - 4.00 petang,088-611233,"6.828547, 116.7219354"
,,,Cawangan Sandakan,"Jalan Airport, Off Jalan Tentera Peti Surat 1457 90716 Sandakan",089-675688,8.00 pagi - 4.00 petang,089-671938,"5.889007, 118.063279"
,,,Cawangan Tambunan,"Rumah Kedai SEDCO, Blok B Lot 11, Peti Surat 93 89650 Tambunan",089-773225,8.00 pagi - 4.00 petang,089-773226,"5.668826, 116.366108"
,,Pejabat JPJ UTC Sabah,,"Aras 5-1, Menara UTC Sabah Off Jalan Tunku Abdul Rahman 88100 Kota Kinabalu",088-250221 / 250479,8.00 pagi - 5.00 petang, 088-250201 / 250173,"5.963182, 116.069492"
,,,Cawangan Kota Kinabalu,Jalan Bundusan Penampang Beg Berkunci 2013 88998 Kota Kinabalu,088-511818 / 088-511803 / 088-511801,8.00 pagi - 4.00 petang,088-511860,"5.933912, 116.101427"
,,Pejabat JPJ UTC Tawau,,"Lot 6-9, Level 6, Bangunan Pasar Jalan Dunlop 91000 Tawau, Sabah",089-775 882/890/891,8.00 pagi - 5.00 petang,089-769 373," 4.243010, 117.884642"
